Neighborhood,Crime,Number of Cases,Date
Midtown Phillips,Arson,0.0,2018-01-01
Midtown Phillips,Auto Theft,7.0,2018-01-01
Midtown Phillips,Burglary,3.0,2018-01-01
Midtown Phillips,Homicide,0.0,2018-01-01
Midtown Phillips,Larceny,9.0,2018-01-01
Midtown Phillips,Rape,3.0,2018-01-01
Midtown Phillips,Robbery,3.0,2018-01-01
Minnehaha,Aggravated Assault,0.0,2018-01-01
Minnehaha,Arson,0.0,2018-01-01
Minnehaha,Auto Theft,0.0,2018-01-01
Minnehaha,Burglary,1.0,2018-01-01
Minnehaha,Homicide,0.0,2018-01-01
Minnehaha,Larceny,4.0,2018-01-01
Minnehaha,Rape,0.0,2018-01-01
Minnehaha,Robbery,2.0,2018-01-01
Morris Park,Aggravated Assault,1.0,2018-01-01
Morris Park,Arson,0.0,2018-01-01
Morris Park,Auto Theft,1.0,2018-01-01
Morris Park,Burglary,1.0,2018-01-01
Morris Park,Homicide,0.0,2018-01-01
Morris Park,Larceny,0.0,2018-01-01
Morris Park,Rape,0.0,2018-01-01
Morris Park,Robbery,0.0,2018-01-01
Near - North,Aggravated Assault,11.0,2018-01-01
Near - North,Arson,1.0,2018-01-01
Near - North,Auto Theft,4.0,2018-01-01
Near - North,Burglary,8.0,2018-01-01
Near - North,Homicide,1.0,2018-01-01
Near - North,Larceny,26.0,2018-01-01
Near - North,Rape,3.0,2018-01-01
Near - North,Robbery,3.0,2018-01-01
Nicollet Island - East Bank,Aggravated Assault,0.0,2018-01-01
Nicollet Island - East Bank,Arson,0.0,2018-01-01
Nicollet Island - East Bank,Auto Theft,1.0,2018-01-01
Nicollet Island - East Bank,Burglary,1.0,2018-01-01
Nicollet Island - East Bank,Homicide,0.0,2018-01-01
Nicollet Island - East Bank,Larceny,6.0,2018-01-01
Nicollet Island - East Bank,Rape,0.0,2018-01-01
Nicollet Island - East Bank,Robbery,0.0,2018-01-01
North Loop,Aggravated Assault,1.0,2018-01-01
North Loop,Arson,0.0,2018-01-01
