Date,Neighborhood,Crime,Number of Cases
12/2021,Victory,Homicide,0.0
12/2021,Victory,Larceny,7.0
12/2021,Victory,Rape,0.0
12/2021,Victory,Robbery,0.0
12/2021,Waite Park,Aggravated Assault,1.0
12/2021,Waite Park,Arson,0.0
12/2021,Waite Park,Auto Theft,3.0
12/2021,Waite Park,Burglary,3.0
12/2021,Waite Park,Homicide,0.0
12/2021,Waite Park,Larceny,2.0
12/2021,Waite Park,Rape,0.0
12/2021,Waite Park,Robbery,1.0
12/2021,Webber - Camden,Aggravated Assault,5.0
12/2021,Webber - Camden,Arson,0.0
12/2021,Webber - Camden,Auto Theft,4.0
12/2021,Webber - Camden,Burglary,2.0
12/2021,Webber - Camden,Homicide,0.0
12/2021,Webber - Camden,Larceny,12.0
12/2021,Webber - Camden,Rape,1.0
12/2021,Webber - Camden,Robbery,2.0
12/2021,Wenonah,Aggravated Assault,1.0
12/2021,Wenonah,Arson,0.0
12/2021,Wenonah,Auto Theft,6.0
12/2021,Wenonah,Burglary,2.0
12/2021,Wenonah,Homicide,0.0
12/2021,Wenonah,Larceny,4.0
12/2021,Wenonah,Rape,0.0
12/2021,Wenonah,Robbery,1.0
12/2021,West Maka Ska,Aggravated Assault,0.0
12/2021,West Maka Ska,Arson,0.0
12/2021,West Maka Ska,Auto Theft,3.0
12/2021,West Maka Ska,Burglary,2.0
12/2021,West Maka Ska,Homicide,0.0
12/2021,West Maka Ska,Larceny,8.0
12/2021,West Maka Ska,Rape,0.0
12/2021,West Maka Ska,Robbery,0.0
12/2021,Whittier,Aggravated Assault,8.0
12/2021,Whittier,Arson,0.0
12/2021,Whittier,Auto Theft,23.0
12/2021,Whittier,Burglary,5.0
12/2021,Whittier,Homicide,0.0
12/2021,Whittier,Larceny,45.0
12/2021,Whittier,Rape,0.0
12/2021,Whittier,Robbery,9.0
12/2021,Willard - Hay,Aggravated Assault,5.0
12/2021,Willard - Hay,Arson,0.0
12/2021,Willard - Hay,Auto Theft,8.0
12/2021,Willard - Hay,Burglary,2.0
12/2021,Willard - Hay,Homicide,0.0
12/2021,Willard - Hay,Larceny,9.0
12/2021,Willard - Hay,Rape,0.0
12/2021,Willard - Hay,Robbery,3.0
12/2021,Windom,Aggravated Assault,2.0
12/2021,Windom,Arson,0.0
12/2021,Windom,Auto Theft,7.0
12/2021,Windom,Burglary,1.0
12/2021,Windom,Homicide,0.0
12/2021,Windom,Larceny,9.0
12/2021,Windom,Rape,0.0
12/2021,Windom,Robbery,2.0
12/2021,Windom Park,Aggravated Assault,1.0
12/2021,Windom Park,Arson,0.0
12/2021,Windom Park,Auto Theft,4.0
12/2021,Windom Park,Burglary,3.0
12/2021,Windom Park,Homicide,0.0
12/2021,Windom Park,Larceny,6.0
12/2021,Windom Park,Rape,1.0
12/2021,Windom Park,Robbery,2.0
1/2022,Armatage,Aggravated Assault,0.0
1/2022,Armatage,Arson,0.0
1/2022,Armatage,Auto Theft,2.0
1/2022,Armatage,Burglary,1.0
1/2022,Armatage,Homicide,0.0
1/2022,Armatage,Larceny,5.0
1/2022,Armatage,Rape,0.0
1/2022,Armatage,Robbery,0.0
1/2022,Audubon Park,Aggravated Assault,2.0
1/2022,Audubon Park,Arson,0.0
1/2022,Audubon Park,Auto Theft,2.0
1/2022,Audubon Park,Burglary,0.0
1/2022,Audubon Park,Homicide,0.0
1/2022,Audubon Park,Larceny,5.0
1/2022,Audubon Park,Rape,0.0
1/2022,Audubon Park,Robbery,0.0
1/2022,Bancroft,Aggravated Assault,1.0
1/2022,Bancroft,Arson,0.0
1/2022,Bancroft,Auto Theft,1.0
1/2022,Bancroft,Burglary,0.0
1/2022,Bancroft,Homicide,0.0
1/2022,Bancroft,Larceny,10.0
1/2022,Bancroft,Rape,0.0
1/2022,Bancroft,Robbery,0.0
1/2022,Beltrami,Aggravated Assault,1.0
1/2022,Beltrami,Arson,0.0
1/2022,Beltrami,Auto Theft,2.0
1/2022,Beltrami,Burglary,0.0
1/2022,Beltrami,Homicide,0.0
1/2022,Beltrami,Larceny,9.0
1/2022,Beltrami,Rape,0.0
1/2022,Beltrami,Robbery,0.0
1/2022,Bottineau,Aggravated Assault,3.0
1/2022,Bottineau,Arson,0.0
1/2022,Bottineau,Auto Theft,2.0
1/2022,Bottineau,Burglary,3.0
1/2022,Bottineau,Homicide,0.0
1/2022,Bottineau,Larceny,4.0
1/2022,Bottineau,Rape,1.0
1/2022,Bottineau,Robbery,0.0
1/2022,Bryant,Aggravated Assault,0.0
1/2022,Bryant,Arson,0.0
1/2022,Bryant,Auto Theft,3.0
1/2022,Bryant,Burglary,1.0
1/2022,Bryant,Homicide,0.0
1/2022,Bryant,Larceny,3.0
1/2022,Bryant,Rape,0.0
1/2022,Bryant,Robbery,0.0
1/2022,Bryn - Mawr,Aggravated Assault,0.0
1/2022,Bryn - Mawr,Arson,0.0
1/2022,Bryn - Mawr,Auto Theft,0.0
1/2022,Bryn - Mawr,Burglary,0.0
1/2022,Bryn - Mawr,Homicide,0.0
1/2022,Bryn - Mawr,Larceny,3.0
1/2022,Bryn - Mawr,Rape,0.0
1/2022,Bryn - Mawr,Robbery,0.0
1/2022,South Uptown,Aggravated Assault,0.0
1/2022,South Uptown,Arson,0.0
1/2022,South Uptown,Auto Theft,12.0
1/2022,South Uptown,Burglary,1.0
1/2022,South Uptown,Homicide,0.0
1/2022,South Uptown,Larceny,12.0
1/2022,South Uptown,Rape,0.0
1/2022,South Uptown,Robbery,2.0
1/2022,Camden Industrial,Aggravated Assault,0.0
1/2022,Camden Industrial,Arson,0.0
1/2022,Camden Industrial,Auto Theft,0.0
1/2022,Camden Industrial,Burglary,1.0
1/2022,Camden Industrial,Homicide,0.0
1/2022,Camden Industrial,Larceny,2.0
1/2022,Camden Industrial,Rape,0.0
1/2022,Camden Industrial,Robbery,0.0
1/2022,Cedar - Isles - Dean,Aggravated Assault,0.0
1/2022,Cedar - Isles - Dean,Arson,0.0
1/2022,Cedar - Isles - Dean,Auto Theft,1.0
1/2022,Cedar - Isles - Dean,Burglary,0.0
1/2022,Cedar - Isles - Dean,Homicide,0.0
1/2022,Cedar - Isles - Dean,Larceny,5.0
1/2022,Cedar - Isles - Dean,Rape,0.0
1/2022,Cedar - Isles - Dean,Robbery,0.0
1/2022,Cedar Riverside,Aggravated Assault,3.0
1/2022,Cedar Riverside,Arson,0.0
