Date,Neighborhood,Crime,Number of Cases
4/2020,Tangletown,Robbery,0.0
4/2020,University of Minnesota,Aggravated Assault,0.0
4/2020,University of Minnesota,Arson,0.0
4/2020,University of Minnesota,Auto Theft,1.0
4/2020,University of Minnesota,Burglary,1.0
4/2020,University of Minnesota,Homicide,0.0
4/2020,University of Minnesota,Larceny,5.0
4/2020,University of Minnesota,Rape,0.0
4/2020,University of Minnesota,Robbery,0.0
4/2020,Ventura Village,Aggravated Assault,7.0
4/2020,Ventura Village,Arson,0.0
4/2020,Ventura Village,Auto Theft,5.0
4/2020,Ventura Village,Burglary,5.0
4/2020,Ventura Village,Homicide,1.0
4/2020,Ventura Village,Larceny,18.0
4/2020,Ventura Village,Rape,1.0
4/2020,Ventura Village,Robbery,5.0
4/2020,Victory,Aggravated Assault,0.0
4/2020,Victory,Arson,0.0
4/2020,Victory,Auto Theft,5.0
4/2020,Victory,Burglary,3.0
4/2020,Victory,Homicide,0.0
4/2020,Victory,Larceny,7.0
4/2020,Victory,Rape,0.0
4/2020,Victory,Robbery,0.0
4/2020,Waite Park,Aggravated Assault,1.0
4/2020,Waite Park,Arson,0.0
4/2020,Waite Park,Auto Theft,1.0
4/2020,Waite Park,Burglary,1.0
4/2020,Waite Park,Homicide,0.0
4/2020,Waite Park,Larceny,8.0
4/2020,Waite Park,Rape,1.0
4/2020,Waite Park,Robbery,1.0
4/2020,Webber - Camden,Aggravated Assault,2.0
4/2020,Webber - Camden,Arson,0.0
4/2020,Webber - Camden,Auto Theft,3.0
4/2020,Webber - Camden,Burglary,2.0
4/2020,Webber - Camden,Homicide,0.0
4/2020,Webber - Camden,Larceny,6.0
4/2020,Webber - Camden,Rape,0.0
4/2020,Webber - Camden,Robbery,2.0
4/2020,Wenonah,Aggravated Assault,3.0
4/2020,Wenonah,Arson,0.0
4/2020,Wenonah,Auto Theft,0.0
4/2020,Wenonah,Burglary,2.0
